SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
532852,MCD HOLDING ,39.75,41.4,39.25,40.35
532853,ASAHI SONG  ,365.0,365.0,355.0,357.2
532854,NITIN FIRE  ,0.69,0.7,0.66,0.68
532855,HARYA CAPFIN,32.95,32.95,32.95,32.95
532856,TIME TECHNO ,82.0,82.55,79.75,80.05
532859,HGSL        ,1750.0,1820.0,1729.0,1754.2
532864,NELCAST     ,75.95,77.8,74.45,75.5
532867,V2RETAIL    ,115.0,118.5,115.0,118.5
532868,DLF LIMITED ,269.25,275.8,267.4,268.25
532869,TARMAT      ,56.1,57.0,52.8,53.05
532870,ANKIT METAL ,1.25,1.25,1.23,1.23
532872,SUNPHA ADV  ,225.0,227.75,223.0,224.35
532873,HOUSING DEV ,5.2,5.3,4.96,5.04
532874,SURYACHAKRA ,0.69,0.69,0.65,0.66
532875,ALLIED DIGIT,56.6,57.0,55.25,56.15
532878,ALPA LAB    ,56.2,58.3,56.2,56.75
532879,SIR SHADI LA,63.9,63.9,59.7,60.0
532880,OMAXE LTD   ,82.05,83.2,80.85,82.0
532884,REFEX       ,135.25,139.9,134.15,138.35
532885,CENTRAL BK  ,18.45,18.6,18.15,18.5
532887,NTL         ,0.84,0.86,0.84,0.86
532888,ASIAN GRANIT,177.55,192.1,177.55,187.4
532889,K.P.R. MILL ,1470.0,1510.0,1434.0,1453.15
532890,TAKE SOLUT  ,70.1,70.4,66.25,67.1
532891,PURAVANKARA ,79.6,81.55,79.6,80.65
532892,MOTILALOFS  ,758.4,836.35,756.0,814.4
532893,VTM LTD     ,27.2,29.4,26.05,28.95
532894,IWIND ENERGY,4.15,4.2,4.0,4.06
532895,NAGREKA CAP ,6.93,7.0,6.8,6.99
532896,MAGNUM VENT ,5.35,5.35,5.35,5.35
532898,POWER GRID  ,229.0,229.15,225.9,228.1
532899,KAVERI SEED ,771.0,794.15,771.0,776.9
532900,PAISALO     ,606.0,612.7,595.0,596.85
532906,MAANALU     ,190.0,193.8,188.05,189.05
532907,ILFSENGG    ,3.31,3.43,3.31,3.42
532911,PARLEIND    ,9.2,9.2,9.09,9.14
532915,RELIGARE ENT,93.8,99.2,92.4,98.0
532916,BARAK VALL  ,22.85,22.85,22.85,22.85
532918,RATHI BARS  ,20.6,21.7,20.6,21.5
532921,ADANI PORTS ,770.5,775.35,767.05,769.15
532922,EDELWEISS   ,61.9,63.85,61.15,63.85
532923,RGL         ,500.0,522.1,493.3,500.2
532924,KOLTEPATIL  ,234.1,240.7,232.2,236.25
532925,KAUSHAL INFR,1.35,1.4,1.35,1.4
532926,JYOTHYLAB   ,147.0,147.6,145.25,147.2
532927,ECLERX      ,1224.65,1225.0,1189.6,1192.3
532928,TRIL        ,24.4,25.5,24.35,24.9
532929,BRIGADE     ,269.35,271.25,265.5,269.15
532930,BGR ENERGY  ,57.8,59.7,57.0,57.4
532931,BURNPUR     ,3.45,3.46,3.36,3.46
532932,MANAKSIA LTD,63.6,63.6,61.3,62.4
532933,PORWAL AUTO ,18.9,21.25,18.8,21.25
532934,PPAP        ,200.5,205.0,198.0,204.3
532935,ARIES AGRO  ,112.45,114.2,109.0,110.55
532937,KUANTUM     ,66.4,66.4,65.0,65.5
532939,RPOWER      ,6.95,7.22,6.95,7.16
532940,J KUMAR INFR,186.45,192.0,183.3,187.9
532941,CORDS CABLE ,46.5,47.8,43.6,46.0
532942,KNR CONST   ,222.0,229.9,215.0,227.6
532944,ONMOBILE    ,107.0,120.0,106.25,117.1
532945,SHRIRAM EPC ,4.8,5.05,4.61,4.91
532946,BANG        ,31.0,32.95,30.9,31.6
532947,IRB INFRA   ,109.9,110.9,108.9,109.05
532951,GSS INFOTECH,69.5,71.25,69.5,69.5
532952,NAHAR CAP   ,125.9,128.2,124.85,126.2
532953,V GUARD IND ,245.0,246.0,236.55,237.5
532955,RECLTD      ,140.2,145.45,140.2,144.1
532957,GOKAK TEXTI ,18.55,18.55,18.55,18.55
532959,GAMMON INFRA,1.17,1.21,1.15,1.18
532960,DHANI       ,179.8,180.7,175.0,176.25
