SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532710,SADBHAV ENGG,A ,Q,61.00,63.25,61.00,61.90,62.15,62.80,764,22250,1387668.00,
532712,REL COM LTD ,B ,Q,1.64,1.77,1.59,1.73,1.73,1.63,2720,18267352,30544374.00,
532713,SAKUMA EXPO ,B ,Q,5.30,5.36,5.21,5.26,5.26,5.27,73,9828,51901.00,
532714,KEC INTERN  ,A ,Q,392.00,392.00,368.00,379.65,377.00,385.80,1709,28740,10786025.00,
532716,GILLA ARBUT ,B ,Q,39.45,39.45,39.15,39.15,39.15,40.00,8,674,26512.00,
532717,INDOTECHTR  ,B ,Q,98.80,98.80,93.20,95.20,94.90,97.20,104,3629,347332.00,
532719,BL KASHYAP  ,B ,Q,16.00,16.40,15.85,16.35,16.40,15.65,108,74310,1213879.00,
532720,M&M FINANSER,A ,Q,155.50,157.25,153.70,155.65,155.65,153.85,5136,528291,82124139.00,
532721,VISA STEEL  ,B ,Q,9.25,9.30,9.25,9.30,9.30,8.86,23,22401,208279.00,
532722,NITCO TILES ,B ,Q,19.95,20.05,19.50,20.00,20.00,20.15,253,8235,164041.00,
532725,SOLAR IND   ,A ,Q,1231.00,1256.95,1223.95,1237.00,1236.00,1232.60,110,403,499979.00,
532726,GALLAN METAL,B ,Q,57.35,58.80,56.40,57.50,57.50,57.45,254,10918,629648.00,
532728,MALU PAPER  ,B ,Q,27.35,27.35,26.35,26.75,26.55,27.40,163,961,25699.00,
532729,UTTAM SUGAR ,B ,Q,145.00,146.30,131.70,139.50,139.50,143.50,1417,28141,3856584.00,
532730,STL GLOBAL  ,B ,Q,8.14,8.41,8.00,8.41,8.41,8.31,225,3427,28229.00,
532731,ROHIT FERRO ,B ,Q,2.25,2.25,2.25,2.25,2.25,2.15,14,19132,43047.00,
532732,KEWAL KIRAN ,B ,Q,882.00,890.00,866.00,881.20,881.35,872.65,29,102,89577.00,
532733,SUN TVNET   ,A ,Q,506.00,507.00,487.00,490.25,490.25,500.65,4523,163687,81128170.00,
532734,GODAWARI POW,A ,Q,1002.95,1019.00,980.65,990.90,996.00,990.15,685,8086,8078804.00,
